Population;Ville;Toulouse        ;Nice;Nantes;Montpellier;Strasbourg;Bordeaux;Lille;Rennes;Reims;Saint-Étienne;Toulon;Le Havre;Grenoble;Dijon;Angers
479553;Toulouse        ;0;;;;;;;;;;;;;;
340017;Nice;562;0;;;;;;;;;;;;;
309346;Nantes;585;1143;0;;;;;;;;;;;;
285121;Montpellier;242;326;824;0;;;;;;;;;;;
280966;Strasbourg;949;790;860;791;0;;;;;;;;;;
254436;Bordeaux;245;803;347;482;942;0;;;;;;;;;
232787;Lille;894;1157;597;963;549;799;0;;;;;;;;
216815;Rennes;697;1186;107;894;827;458;572;0;;;;;;;
182460;Reims;812;955;515;787;347;717;199;483;0;;;;;;
172565;Saint-Étienne;536;490;662;322;550;530;749;699;546;0;;;;;
171953;Toulon;469;149;1051;233;866;711;1065;1092;862;398;0;;;;
170147;Le Havre;848;1119;384;917;695;651;316;280;344;720;1026;0;;;
158454;Grenoble;532;465;786;297;533;654;803;823;600;155;372;767;0;;
156920;Dijon;644;660;638;492;332;640;501;620;298;251;567;506;304;0;
152960;Angers;635;1062;88;771;773;396;511;126;429;574;969;295;699;551;0
